GRAND_ID,AREA_SKM,POLY_SRC,lon,lat,CRS,COMID,VPU
1921,4.4,SWBD,-81.34142566,28.86862748,WGS84,10997483,03S
1922,31.2,McGill,-81.72780734,28.84680782,WGS84,16636508,03S
1923,0.7,SWBD,-82.29607045,28.85238939,WGS84,16949752,03S
1924,1.8,McGill,-82.28067897,28.76882608,WGS84,16949848,03S
1925,5.7,SWBD,-81.21335129,28.38049428,WGS84,933090045,03S
1926,5.5,SWBD,-80.94928027,28.33520232,WGS84,11003083,03S
1927,35.2,SWBD,-81.2823424,28.2931324,WGS84,933090064,03S
1928,0.8,SWBD,-81.16869671,28.25778139,WGS84,27805138,03S
1929,11.9,SWBD,-81.20953898,28.21035078,WGS84,27805138,03S
1930,64.5,SWBD,-81.38157146,28.2047346,WGS84,21478032,03S
1931,6.3,SWBD,-81.24360741,28.14099403,WGS84,27805140,03S
1932,1.7,SWBD,-81.74209389,28.05556092,WGS84,16801419,03S
1933,2.6,SWBD,-81.69063925,28.05927461,WGS84,16794855,03S
1934,1,SWBD,-81.71113764,28.058476,WGS84,16794855,03S
1935,8.3,SWBD,-81.65300707,28.05090316,WGS84,16794855,03S
1936,18.1,SWBD,-81.83816701,27.9711143,WGS84,933100040,03S
1937,1.7,SWBD,-82.16187478,27.91722679,WGS84,16896736,03S
1938,1.6,SWBD,-81.89366571,27.88474054,WGS84,NA,03S
1939,1.1,GLWD,-81.85164073,27.86158173,WGS84,NA,03S
1940,0.9,SWBD,-81.84387832,27.8541081,WGS84,NA,03S
1941,0.2,SWBD,-81.7816922,27.85391214,WGS84,16802931,03S
1942,1.3,SWBD,-82.0235838,27.83056828,WGS84,16896614,03S
1943,0.4,SWBD,-81.8781508,27.81419949,WGS84,16801621,03S
1944,121.1,SWBD,-81.26550703,27.9071394,WGS84,21484516,03S
1945,1.7,SWBD,-81.99841774,27.80997418,WGS84,16894198,03S
1946,3.6,SWBD,-81.85870208,27.79836964,WGS84,16801621,03S
1947,1.4,SWBD,-82.03425119,27.785435,WGS84,16896668,03S
1948,0.2,SWBD,-81.8253551,27.76388854,WGS84,16801647,03S
1949,0.8,SWBD,-82.08911069,27.74481934,WGS84,16896698,03S
1950,0.1,SWBD,-82.04170002,27.7331855,WGS84,16896686,03S
1951,3.1,SWBD,-81.98589925,27.71873405,WGS84,16801745,03S
1952,1.7,SWBD,-81.92546949,27.7031127,WGS84,16803135,03S
1953,13.3,SWBD,-82.32747321,27.61986537,WGS84,16883592,03S
1954,5,SWBD,-82.32673925,27.4841777,WGS84,16878344,03S
1955,14.5,SWBD,-81.39895606,27.30401354,WGS84,21491938,03S
1956,23.1,SWBD,-80.58633124,27.04179904,WGS84,16715620,03S
1957,1418.8,SWBD,-80.80343709,26.94446346,WGS84,16742581,03S
1958,3.4,SWBD,-80.35163708,26.37735249,WGS84,89748,03S
1959,0.4,McGill,-80.49223349,25.75698161,WGS84,83648,03S
2032,20.7,SWBD,-68.24362934,46.5436851,WGS84,805409,01
2034,52.2,SWBD,-69.33741323,46.3692813,WGS84,720012,01
2035,10.6,SWBD,-68.88432724,46.29848315,WGS84,807811,01
2036,18.5,SWBD,-69.60342629,46.20350635,WGS84,1698778,01
2037,5.3,SWBD,-69.31462937,46.17914938,WGS84,1712386,01
2038,52.5,SWBD,-69.27927283,46.21814456,WGS84,1712360,01
2039,4.6,SWBD,-69.63498932,46.14252466,WGS84,1698838,01
