GRAND_ID,AREA_SKM,POLY_SRC,lon,lat,CRS,COMID
163,0.2,SWBD,-120.113594,39.32150483,WGS84,8934512
164,3.4,SWBD,-121.3163859,39.3377925,WGS84,8062463
165,3.2,SWBD,-120.2654893,39.32270604,WGS84,8934506
166,1,SWBD,-120.5832421,39.29854637,WGS84,14993659
167,2.5,SWBD,-120.9176637,39.27698391,WGS84,8064707
168,2.8,SWBD,-121.2498432,39.27025281,WGS84,8062525
169,6.7,SWBD,-123.1735482,39.21532324,WGS84,8269139
170,495.6,SWBD,-120.0335515,39.09591142,WGS84,8942095
171,2.4,SWBD,-120.942302,39.15110351,WGS84,15014939
172,4.8,SWBD,-120.4425895,39.11316391,WGS84,14993677
173,14,SWBD,-122.5401584,39.12299773,WGS84,8007769
174,3.1,SWBD,-120.3977564,39.07552625,WGS84,14993703
175,6.6,SWBD,-121.295665,39.04776965,WGS84,15013993
176,4.7,SWBD,-120.3117914,38.99579623,WGS84,14993719
177,1.3,SWBD,-120.5916227,38.89899249,WGS84,14997987
178,8,SWBD,-120.4087461,38.87095156,WGS84,14983580
179,2.6,SWBD,-120.3435659,38.8247042,WGS84,14983642
180,8.8,SWBD,-123.0535043,38.73315911,WGS84,8276449
181,2.4,SWBD,-120.5555671,38.72329948,WGS84,20196370
182,33.7,SWBD,-121.1245494,38.73924134,WGS84,14996705
183,2.4,SWBD,-120.0455664,38.69868976,WGS84,14983694
184,2.1,SWBD,-120.241603,38.54368026,WGS84,17053574
185,66.3,SWBD,-122.2253263,38.58642622,WGS84,8016061
186,1.6,SWBD,-120.1924414,38.4980499,WGS84,17058266
187,2.8,SWBD,-122.3722942,38.48950122,WGS84,1670369
188,1.2,SWBD,-122.128467,38.36386738,WGS84,2785421
189,1.1,SWBD,-120.8785222,38.30746032,WGS84,17058296
190,8.2,SWBD,-120.8371795,38.26794675,WGS84,17058366
191,28.1,SWBD,-120.9669952,38.22422893,WGS84,3960249
192,1.8,SWBD,-120.0630054,38.21283122,WGS84,345043
193,14.8,SWBD,-120.7868585,38.16083015,WGS84,17068294
194,0.7,SWBD,-122.775306,38.1484811,WGS84,5329847
195,3.2,SWBD,-122.7389839,38.08330125,WGS84,5329857
196,4.5,SWBD,-120.7529152,38.03463766,WGS84,2818894
197,0.3,SWBD,-122.7009076,37.9916427,WGS84,5330739
198,43.2,SWBD,-120.509181,37.99147243,WGS84,349803
199,0.4,SWBD,-120.4463835,37.94741986,WGS84,17078055
200,2.1,SWBD,-122.2451503,37.92947286,WGS84,1671841
201,0.7,McGill,-122.6282901,37.94829997,WGS84,948050164
202,2,SWBD,-122.1993851,37.92355389,WGS84,1671843
203,7,SWBD,-120.9165874,37.90638962,WGS84,2825782
204,3.2,SWBD,-120.5876989,37.89479712,WGS84,349887
205,5.5,SWBD,-120.8618827,37.85261991,WGS84,2826152
206,9.4,SWBD,-121.5754834,37.83916494,WGS84,1894476
207,5.3,SWBD,-121.7377817,37.82010343,WGS84,1894438
208,1.4,SWBD,-122.1102625,37.77628473,WGS84,948050148
209,0.8,SWBD,-122.1099679,37.7271563,WGS84,2805075
211,6.2,SWBD,-120.663124,37.66985427,WGS84,2826236
212,7.9,SWBD,-120.5723929,37.6099883,WGS84,2826394
213,2.5,SWBD,-121.7219898,37.59913247,WGS84,2808649
214,19.3,SWBD,-120.2515658,37.63174649,WGS84,21608549
215,1.6,SWBD,-122.4258856,37.59573986,WGS84,24571710
