site_name,year,disch_cv_annual,GPP_annual,ER_annual,NEP_annual,watertemp_mean_annual,disch_mean_annual,PAR_mean_annual,gpp_er_cor_annual,siteyear
nwis_01611500,2009,1.7919869354737585,841.9677070060177,-915.1170099482747,40.5650874100718,13.566942295062345,15.086632612321061,29.98673160460274,0.3440282109405901,nwis_01611500_2009
nwis_01646500,2015,0.9651520607135421,2775.8231720685767,-2639.420562367949,305.7922266254279,15.291690901757805,263.2643549992074,33.80435671895013,0.9643026122449048,nwis_01646500_2015
nwis_01646500,2016,1.24372828638969,1832.9499332165062,-1692.4397171125418,206.64413773095424,16.07391868571936,281.4068489601185,34.16201143154754,0.9604741958452551,nwis_01646500_2016
nwis_02397530,2016,1.3435518768056682,2274.925974306045,-1935.8438738471784,376.1446942754946,20.480930934896822,153.7679906389885,37.828943501036065,0.04066760187022561,nwis_02397530_2016
nwis_03183500,2009,1.0988285398054944,775.9166457654565,-757.1909136952621,35.50399072183171,12.95582023096508,56.966748285220035,30.325979946693696,0.5153473740640848,nwis_03183500_2009
nwis_03183500,2010,2.02930205089841,769.5801843669425,-720.953267225508,82.79078659659794,13.840618448961887,50.58680402363977,33.13243377318575,0.6589153932625071,nwis_03183500_2010
nwis_03183500,2015,1.3437795695305794,787.624420301388,-738.4655763438545,145.44092695830676,13.742426875622355,72.2303264417357,32.39981446795397,0.5930278273686932,nwis_03183500_2015
nwis_03183500,2016,1.7321195332744055,693.3408827588796,-690.4561303499349,39.93951993100046,14.052048574917887,57.114559848518276,33.20878805889836,0.5857836076188578,nwis_03183500_2016
nwis_03353200,2012,2.310874123047747,1053.2285030544588,-995.5372286978114,49.03784785856827,14.314338570127504,2.396183145913425,33.56835014014426,0.435141102667492,nwis_03353200_2012
nwis_03374100,2012,1.0806542998873225,2153.238783764894,-1964.1946476501394,182.0666009293876,17.48684372202168,258.0948237722994,34.980373109901635,0.7522113209553598,nwis_03374100_2012
nwis_03539778,2014,1.5944692718882543,315.86686287568654,-315.4390696585437,9.54625451601733,14.362656270163422,9.779701594231886,34.654182481006025,0.6109903428675977,nwis_03539778_2014
nwis_04108660,2012,0.48902610871753266,2360.6679188295802,-2263.809951784191,82.768768933277,13.569638267580173,50.375912127960774,35.37687617671475,0.9279929827483765,nwis_04108660_2012
nwis_04119400,2011,0.5479390962539926,3331.3853615117423,-2704.335548873887,896.4831685093571,12.153594444442122,202.05570096921042,33.70035782984548,0.01360594183240433,nwis_04119400_2011
nwis_04119400,2012,0.7195248485470818,3468.234866116262,-2391.0335476743862,1093.6449121980954,13.361374081923303,91.69110271579233,35.474624819704914,0.35404826833570247,nwis_04119400_2012
nwis_04119400,2015,0.4627580653550484,3166.0061452033347,-2152.8874106919407,1016.2382800939242,12.748755293793932,121.80908433613469,34.31644166532822,0.04923839607883583,nwis_04119400_2015
nwis_04136000,2014,0.3707227226974671,1360.7987075217661,-1303.1035274352557,64.16353382391254,8.691863949958528,26.893504145304973,29.506250939690958,0.8467799276773286,nwis_04136000_2014
nwis_04142000,2012,0.9824432333875484,1187.0979362272694,-1154.8237115753475,28.201341808565285,10.6363476474804,8.364968080975478,32.59029118359344,0.8020976878126439,nwis_04142000_2012
nwis_05406500,2012,0.17259728075165282,2189.075995277673,-2101.7284295101454,113.82558125386464,11.621077519073104,0.9481434661254682,32.77512617441311,0.8242230096089902,nwis_05406500_2012
nwis_05435950,2012,0.3038731772699736,1645.6666892820763,-1607.4153612505377,31.59566562709528,11.679221278815472,1.28196132559288,32.80529161670164,0.7641498905063793,nwis_05435950_2012
nwis_07164500,2011,1.6229236418162845,4233.3644103428705,-3435.284237433879,816.657147874125,17.09967608447489,32.64336544631455,36.68384934737753,0.5616124655650192,nwis_07164500_2011
nwis_07164500,2012,1.8372533564315674,4262.279668757918,-3692.6646879397895,632.8631662904229,18.706320224049616,88.9991015086896,36.879402127239345,0.7666772466800067,nwis_07164500_2012
nwis_07164500,2014,1.0796554746658964,4678.205472770335,-4472.088499985737,246.02199943468435,16.397498829132026,56.80397804679466,35.72999681921753,0.6649244920248738,nwis_07164500_2014
nwis_07241550,2014,1.1500355379515046,3911.0088384101896,-3255.3195791355697,633.947147936376,17.73087899543378,5.902888574290603,36.35250796068164,0.17766848804375995,nwis_07241550_2014
nwis_08171290,2009,1.6980899477149223,723.9604389602586,-624.8765477217058,94.66938504060461,21.798116438356157,1.596521560367346,38.701172978965474,0.7180077822482476,nwis_08171290_2009
nwis_08446500,2012,1.00235393161752,12504.71139777417,-9756.222502672292,2650.509599136463,20.190381659836063,0.38619423164085764,41.167978055606554,0.78920298268745,nwis_08446500_2012
nwis_08446500,2013,0.7484075860544523,9954.990775195089,-8946.111441204615,905.983465958446,19.535754175065204,0.2995048806748686,40.675198647156165,0.6239802877471532,nwis_08446500_2013
nwis_08446500,2014,1.4327653597494705,8751.568651425589,-8396.995888341284,285.94745067191224,19.527763984018268,0.9238140932500856,40.183452734557804,0.8789137337469021,nwis_08446500_2014
nwis_08447000,2015,0.6335303338816966,6653.052647566201,-5625.937751224967,1086.9620210632347,20.53232606409367,2.0969113589767945,40.58441589528986,0.8764442659041668,nwis_08447000_2015
nwis_08447000,2016,0.847490665750349,5500.205821460964,-5041.106966709759,463.7270354518443,21.048215768417712,1.5136374352486643,40.69419520278689,0.905253548080602,nwis_08447000_2016
nwis_08447300,2012,0.23749293312752431,4624.978682628694,-4597.537170836199,25.457579290450326,21.948564862249544,2.1671350617151632,41.7674694332459,0.5958460870052189,nwis_08447300_2012
nwis_08447300,2013,0.31170008593567233,3718.217085625304,-3579.1806967344746,140.95816526248706,21.301475456621006,1.908207376048564,40.81997389265753,-0.26671602367928127,nwis_08447300_2013
nwis_10133650,2011,1.080001395106998,1769.5317965292868,-1675.7569226111955,95.88162205495169,7.0296425317500155,1.2622943869201084,37.18388473701041,0.8349785370555834,nwis_10133650_2011
nwis_10133650,2012,0.7249165125803642,994.1132513733567,-755.1822334067134,232.16128326898854,8.166747135788029,0.3767309089389573,38.34525241652459,0.7396075956823054,nwis_10133650_2012
nwis_10133650,2013,0.6423384968112599,992.7102690667859,-707.4448125408387,304.4023724341323,8.108435466883696,0.3385919643425789,37.18188503664658,0.9058371730695401,nwis_10133650_2013
nwis_10133650,2014,0.5314033107791903,1113.1889887729094,-883.6687718332768,235.4056933508327,8.023721572789281,0.38729526619826876,36.904807991243835,0.6993376661688446,nwis_10133650_2014
