"site_name","lat","lon","NEP","PtoR","nyears"
"nwis_02337170",33.65666667,-84.6736111,-371.428744762158,0.261808748169825,6
"nwis_02344630",33.35761729,-84.5824289,-171.201675701484,0.15939061237351,1
"nwis_02397530",34.20176124,-85.447458,-240.810456619408,0.739338543899757,3
"nwis_03034000",40.93923105,-79.00836738,-63.2045100925412,0.785362153963343,1
"nwis_03061000",39.42230818,-80.2759187,-74.2873661032509,0.747414219061074,1
"nwis_03067510",38.6170576,-79.8697849,-54.3882728323953,0.587555302148653,6
"nwis_03098600",41.10505807,-80.6625755,-274.109564490192,0.415546486544677,3
"nwis_03183500",37.7242874,-80.641468,-24.8127839327137,0.93645575314827,8
"nwis_03219500",40.4195042,-83.1971372,-360.113070996569,0.46301883689407,1
"nwis_03228300",40.2361735,-82.8512892,-275.166617869928,0.64636965071145,2
"nwis_03292470",38.36173418,-85.5749608,-91.8767538405247,0.707294697151482,2
"nwis_03292474",38.2759036,-85.606072,-197.141403560971,0.580637241094889,1
"nwis_03292475",38.3034027,-85.62801689,-398.359493006227,0.461577442391915,1
"nwis_03292480",38.31256909,-85.6257947,-283.767382360365,0.271240105771179,1
"nwis_03293000",38.237293,-85.6646834,-83.9903357099839,0.772025858542604,4
"nwis_03293500",38.25034895,-85.7166287,-249.50438614221,0.36112781024675,1
"nwis_03293530",38.27645917,-85.693573,-225.625065533719,0.264877151076301,2
"nwis_03298000",38.18840166,-85.460235,-109.091115882101,0.698706785632351,1
"nwis_03298135",38.19479109,-85.557181,-69.4440808335416,0.703573656509998,1
"nwis_03298150",38.16006729,-85.5421797,-67.9514290380655,0.858157112657344,2
"nwis_03298250",38.0792321,-85.6160683,-144.255195236394,0.752328729517408,2
"nwis_03298300",38.08756629,-85.642458,-242.065715973825,0.453492335357214,1
"nwis_03301900",38.1756242,-85.615237,-199.958465284315,0.598203543978547,3
"nwis_03302000",38.1197916,-85.7957955,-74.8544089492081,0.637819229551404,1
